name	textual	title
BESTOW	true	BESTOW - Amandine Wattelier-Bricout's Post-doc project
odia-mahabharata	false	Sāraḷā Dāsa's Mahābhārata
project-documentation	false	Project documentation
siddham	true	Siddham
tfa-accalpuram-epigraphy	true	Accāḷpuram
tfa-cempiyan-mahadevi-epigraphy	true	Cempiyaṉ Mahādevī
tfa-cirkali-epigraphy	true	Cīrkāḻi
tfa-kotumpalur-epigraphy	true	Koṭumpāḷūr
tfa-melappaluvur-kilappaluvur-epigraphy	true	Mēlappaḻuvūr & Kīḻappaḻuvūr
tfa-pallava-epigraphy	true	Pallava
tfa-pandya-epigraphy	true	Pāṇḍya
tfa-sii-epigraphy	true	South Indian Inscriptions
tfa-tamil-outside-TN-epigraphy	true	Tamil Outside of Tamil Nadu (varia)
tfa-tamilnadu-epigraphy	true	Tamil Nadu (varia)
tfa-tiruvavatuturai-TN-epigraphy	true	Tiruvavāṭuturai
tfa-uttiramerur-epigraphy	true	Uttiramērūr
tfb-arakan-epigraphy	true	Arakan
tfb-badamicalukya-epigraphy	true	Bādāmi Cālukya
tfb-bengalcharters-epigraphy	true	Bengal Copper Plates
tfb-bengalded-epigraphy	true	Bengal Dedication Inscriptions
tfb-bhaumakara-epigraphy	true	Bhaumakara
tfb-daksinakosala-epigraphy	true	Dakṣiṇa Kosala
tfb-ec-epigraphy	true	Epigraphia Carnatica
tfb-eiad-epigraphy	true	Early Andhra
tfb-gangaeast-epigraphy	true	Eastern Gaṅga
tfb-kalyanacalukya-epigraphy	true	Kalyāṇa Cālukya
tfb-karnataka-epigraphy	true	Karnataka Inscriptions
tfb-licchavi-epigraphy	true	Licchavi
tfb-maitraka-epigraphy	true	Maitraka
tfb-parivrajaka-epigraphy	true	Parivrājaka
tfb-rastrakuta-epigraphy	true	Rāṣṭrakūṭa
tfb-sailodbhava-epigraphy	true	Śailodbhava
tfb-satavahana-epigraphy	true	Satavahana
tfb-somavamsin-epigraphy	true	Somavaṁśin
tfb-telugu-epigraphy	true	Telugu Inscriptions
tfb-vengicalukya-epigraphy	true	Eastern Cālukya
tfb-visnukundin-epigraphy	true	Viṣṇukuṇḍin
tfc-campa-epigraphy	true	Campa
tfc-khmer-epigraphy	true	Khmer
tfc-nusantara-epigraphy	true	Nusantara Epigraphy
tfd-nusantara-philology	true	Nusantara Philology
tfd-sanskrit-philology	true	Sanskrit
repo-test	true	Test Repository
